Cod	Denumire
741212	montator, reglor si depanator de ascensoare
741211	montator, reglor si depanator pentru aparate de masura electrice si relee
741210	montator/reglor/depanator de aparataj electric
741209	bobinator transformatoare
741208	electrician verificari si masuratori electrice în centrale si retele electrice
741207	bobinator condensatori pentru instalatii electrice
741206	electrician montare si reparatii aparataj electric de protectie, relee, automatizare
741205	electrician aparate masura-control si automatizare în centrale termoelectrice si nuclearoelectrice
741204	bobinator masini electrice rotative
741203	electromecanic reparator obiecte de uz casnic
741202	bobinator aparataj electric
741201	electrician echipamente electrice si energetice
741110	electrician în constructii civile si industriale
741109	electrician constructor pentru probe si încercari functionale
741108	electrician constructor instalator aparatura de masura si control
741107	electrician constructor montator aparataj si cabluri de medie si înalta tensiune
741106	electrician constructor montator aparataj si cabluri de joasa tensiune
741105	montator instalatii solare
741104	instalator pentru sisteme termice solare
741103	instalator pentru sisteme fotovoltaice solare
741102	electrician de întretinere în constructii
741101	electrician în constructii
732304	strungar slefuitor tipografie
732303	masinist în legatorie mecanica
732302	colator publicitar
732301	legator manual (în poligrafie si ateliere speciale)
732218	tipograf flexograf
732217	operator la masina de tampografiat
732216	operator la masina de gravat si decupat cu laser
732215	tipograf print digital si offset
732214	operator masini multiplicat
732213	operator xerox
732212	heliografist
732211	operator tiparituri Braille
732210	operator la masinile de fotoculegere (monofoto)
732209	operator la masina electronica de gravat
732208	dactilo-rotaprint
732207	tipograf-tiparitor
732206	operator presa de transfer termic
732205	serigraf
732204	taietor matrite serigrafie
732203	imprimator serigraf
732202	imprimeur textil
732201	tipograf turnator la masinile de turnat text
732117	manipulant cutter-plotter
732116	turnator valuri
732115	fotogravor
732114	gravor placi litografice
732113	gravor placi metalice
732112	slefuitor-granulator
732111	desenator cromolitograf
732110	copist formare tipar plan
732109	zincograf
732108	corodor prin procedee chimice (tiefdruc si zinco)
732107	galvanotipist
732106	stereotipar
732105	frezor-montator clisee
732104	culegator manual (zetar)
732103	culegator la masina de turnat rânduri pentru titluri (LUDLOV)
732102	culegator la masina de perforat programe pentru masinile de turnat text (monotastor)
732101	culegator la masina de cules si turnat rânduri (linotipist)
731906	confectioner flori artificiale
731905	împletitor fibre plastice
731904	confectioner jaluzele
731903	confectioner proteze ortopedice
731902	confectioner proteze dentare
731901	confectioner manual în metaloplastie
731836	asamblator-montator articole marochinarie
731835	pregatitor articole marochinarie
731834	cusator articole marochinarie
731833	croitor-stantator articole marochinarie
731832	finisor manusi piele
731831	croitor manusi piele
731830	cusator manusi piele
731829	tesator manual
731828	reparator covoare
731827	aburitor textile
731826	repasator
731825	finisor textile (vopsitor, imprimeur)
731824	confectioner tricotaje dupa comanda
731823	pregatitor si confectioner cataloage mostre
731822	tesator restaurator manual covoare
731821	confectioner presuri
731820	împletitor textile
731819	crosetor
731818	ajutor maistru tesator, tricoter
731817	tricoter manual
731816	tesator
731815	ajutor maistru filator
731814	filator
731813	prelucrator de fulgi si pene
731812	confectioner îmbracare volane în piele
731811	confectioner unelte pescuit din plase
731810	saluzitor frânghii
731809	cablator frânghii
731808	polierator frânghii
731807	ghemuitor
731806	confectioner manual de produse din sfori sau frânghii
731805	velator-matisor
731804	decorator în piele
731803	confectioner bibelouri din Jenille
731802	confectioner articole hârtie
731801	confectioner plase pescaresti
731733	fierbator-uscator de par
731732	pieptanator de par la masina
731731	împletitor din panglica împletita
731730	prelucrator manual de par
731729	prelucrator de par la masina
731728	sortator, spalator par
731727	legator de par
731726	împletitor papura
731725	împletitor obiecte din foi de porumb
731724	împletitor de nuiele
731723	confectioner maturi
731722	confectioner bidinele, pensule, perii
731721	confectioner materiale didactice pentru stiintele naturii
731720	încadrator tablouri
731719	confectioner corzi din intestine
731718	confectioner obiecte din os, scoica, mica etc.
731717	confectioner obiecte din ipsos
731716	confectioner obiecte casnice din deseuri de aluminiu si alte metale
731715	confectioner nasturi, piepteni
731714	confectioner cutite, brice, bratari, andrele, agrafe, inele
731713	lumânarar
731712	rotar caretas
731711	dogar manual
731710	traforator manual lemn
731709	confectioner creta scolara
731708	sculptor în lemn
731707	ramar poleitor
731706	pirogravor
731705	confectioner garnituri pentru etansare
731704	confectioner plute
731703	confectioner obiecte artizanale din lemn
731702	confectioner jucarii
731701	confectioner piese, linguri, spite, albii, donite, cozi de unelte, sindrila, ciubere
731606	oglindar
731605	pictor pe sticla si ceramica
731604	inscriptioner pe produse de sticla si ceramica
731603	gravor produse de sticla
731602	gradator vase si aparate de laborator
731601	pictor decor
731506	formator tuburi spectrale
731505	prelucrator topitura sticla la teava
731504	prelucrator topitura sticla la presa
731503	tragator, slefuitor, gradator nivele
731502	modelator tuburi spectrale
731501	brigadier la fabricarea sticlei
731411	slefuitor produse din ceramica fina
731410	râsnitor smalt
731409	presator produse ceramice
731408	preparator mase ceramice
731407	olar ceramica (artizanat)
731406	modelator ceramica
731405	glazurator produse din ceramica fina
731404	fasonator produse ceramice
731403	turnator produse ceramice
731402	debavurator-retusor la produse din ceramica fina
731401	aplicator de detalii la produse din ceramica
731311	maistru bijutier
731310	slefuitor diamante naturale
731309	giuvaergiu
731308	bijutier metale comune
731307	tintuitor
731306	gravor manual
731305	confectioner stampile de cauciuc, metal, facsimile
731304	cizelator clisee galvanice
731303	cizelator
731302	bijutier metale pretioase
731301	argintar
731213	constructor restaurator de orgi
731212	lutier
731211	montator-ajustor de acordeoane
731210	montator-reglor piane
731209	montator corp sonor la piane
731208	filator corzi pentru piane
731207	constructor-reparator de alte instrumente muzicale (suflat, percutie)
731206	constructor-reparator de acordeoane si armonici
731205	constructor claviatura
731204	ceruitor de piastrine pentru acordeoane
731203	caserator si slefuitor de celuloid pentru carcase acordeoane
731202	acordor piane, pianine, orga, tambal
731201	acordor acordeoane, armonici
731120	metrolog verificator
731119	metrolog si depanator mecanica fina, tehnica digitala si analogica (MFTDA)
731118	tratamentist piese optice
731117	gravor piese optice
731116	reparator umbrele
731115	reparator stilouri, brichete
731114	reparator aparate foto
731113	presator piese optice
731112	confectioner seringi
731111	optician armament
731110	optician
731109	montator aparatura optica
731108	lipitor lentile si prisme
731107	degresator, curatator piese si aparate optice
731106	centrator, finisor aparate optice
731105	centrator, debordator piese optice
731104	ceasornicar
731103	blocator, chituitor, deblocator
731102	armurier
731101	AMC-ist
723311	mecanic întretinere si reparatii utilaje din industria textila, confectii si încaltaminte
723310	mecanic trolist
723309	mecanic masini agricole
723308	operator în verificarea, întretinerea si repararea autospecialelor destinate apararii împotriva incendiilor
723307	mecanic întretinere si reparatii masini de cusut industriale
723306	operator în verificarea, reîncarcarea si repararea stingatoarelor de incendiu
723305	ungator-gresor
723304	motorist
723303	mecanic agricol
723302	mecanic utilaj
723301	lacatus-montator agregate energetice si de transport
723201	mecanic aviatie
723105	operator pregatire încercari vehicule
723104	operator standuri încercari
723103	mecanic auto
723102	electromecanic auto
723101	electrician auto
722429	curatitor-sablator
722428	debitator semifabricate
722427	slefuitor metale cu plumb industria de armament
722426	rectificator piese producatoare de ochiuri
722425	strungar la masini de strunjit roti cai ferate
722424	strungar la masini de prelucrat în coordonate
722423	strungar la masini de alezat
722422	strungar la masini orizontale
722421	strungar la strung carusel
722420	strungar la strung revolver
722419	strungar la strung paralel si de detalonat
722418	rectificator dantura caneluri
722417	rabotor, mortezor roti dintate
722416	gravor mecanic
722415	frezor la masini roti dintate
722414	brosator
722413	strungar universal
722412	rectificator universal
722411	rabotor-mortezor universal
722410	honuitor, rodator-lepuitor
722409	gauritor-filetator
722408	frezor universal
722407	slefuitor metale
722406	polizator
722405	debitator-slefuitor perii de masini electrice
722404	ascutitor scule, instrumente medicale si obiecte de uz casnic
722403	ascutitor-calitor garnituri de carde
722402	ascutitor laminate la rece
722401	ascutitor laminate la cald
722324	operator la masini de electroeroziune automate
722323	operator la masini-unelte cu comanda numerica
722322	masinist la confectionarea tuburilor de protectie si a dozelor de ramificatie
722321	masinist la masini speciale de aschiere
722320	finisator electrozi de sudura
722319	pregatitor sârma
722318	preparator amestec de învelis
722317	masinist la masini speciale fara aschiere
722316	uscator electrozi de sudura
722315	degresator-imersioner
722314	masinist la lame de masini pentru automate aschietoare
722313	dozator la fabricarea electrozilor de sudura
722312	operator la masini-unelte semiautomate si automate
722311	conductor de instalatii
722310	reglor si reglor-conductor la masini-unelte
722309	reglor la masini pentru fabricarea lampilor electrice
722308	reglor-montator
722307	reglor masini-unelte
722306	reglor la masini de prelucrare mase plastice
722305	reglor masini de bobinat si platinat
722304	masinist la linii automate aschietoare
722303	reglor benzi montaj
722302	reglor la masini pentru confectionarea elementelor galvanice
722301	reglor la masini pentru fabricarea cablurilor, conductorilor electrici si materialelor electrice
722207	lacatus constructii structuri aeronave
722206	lacatus la prelucrarea si îndreptarea tevilor ghintuite
722205	prelucrator prin electroeroziune
722204	lacatus mecanica fina
722203	lacatus AMC
722202	sculer-matriter
722201	lacatus SDV
722118	dusisator-polizator
722117	debitator-ebosator
722116	controlor de calitate la turnare
722115	controlor de calitate la forjare
722114	finisor ferite
722113	formator-presator ferite
722112	fierar/potcovar
722111	cuptorar-termist pentru ferite
722110	preparator pulberi
722109	confectioner ferodouri
722108	forjor mecanic
722107	forjor-arcurar
722106	forjor manual
722105	presator, ambutisor la cald
722104	stantator
722103	presator piese din pulberi metalice
722102	prelucrator mecanic metale pretioase
722101	forjor-matriter
721501	mecanic-montator instalatii cu cablu în silvicultura si exploatari forestiere
721435	mecanic operator
721434	montator fatade si pereti cortina
721433	confectioner-montator structuri metalice pentru constructii
721432	schelar
721431	operator la montarea si conservarea produselor dupa probe
721430	lacatus-depanator utilaje calcul
721429	masinist mecanic la confectionare garnituri carde
721428	taietor garnituri de carde
721427	lipitor si protejator spete
721426	montator-ajustor spete
721425	masinist la confectionarea spetelor si spiralelor
721424	lacatus mecanic de întretinere si reparatii universale
721423	nituitor
721422	masinist la fabricarea acelor si accesoriilor
721421	constructor-montator de structuri metalice
721420	masinist la confectionarea tuburilor de aluminiu
721419	masinist la confectionarea ambalajelor metalice
721418	masinist la litografiat si vernisat tabla
721417	tubulator naval
721416	repasator garnituri carde
721415	pregatitor, montator, reparator ite, cocleti, lamele, spete
721414	sanfrenator
721413	reconditioner scule si utilaje petroliere
721412	presator metale la rece
721411	lacatus-montator
721410	lacatus mecanic
721409	lacatus revizie vagoane
721408	lacatus de mina
721407	lacatus constructii metalice si navale
721406	formator tevi prin sudare
721405	confectioner plase din sârma
721404	confectioner cocleti
721403	confectioner capace de carde
721402	finisor ace si accesorii
721401	finisor cocleti
721312	tinichigiu în constructii
721311	tinichigiu sisteme de ventilatie
721310	tinichigiu sisteme de acoperisuri si învelitori
721309	tinichigiu restaurator
721308	cazangiu formator
721307	cazangiu tevar
721306	tinichigiu structurist de aviatie
721305	tinichigiu de santier
721304	tinichigiu industrial
721303	tinichigiu carosier
721302	probator hidraulic cazane, tevi, recipiente
721301	cazangiu recipiente
721208	sudor
721207	sudor cu arc electric cu electrod nefuzibil în mediu de gaz protector
721206	sudor cu arc electric cu electrod fuzibil în mediu de gaz protector
721205	operator taiere
721204	sudor cu arc electric acoperit sub strat de flux
721203	sudor manual cu arc electric
721202	sudor manual cu flacara de gaze
721201	brazor
721116	modelor prototipuri auto
721115	turnator metale si neferoase
721114	turnator modelier
721113	turnator pregatitor otelarie
721112	turnator formator
721111	turnator fonta pe banda
721110	topitor, turnator metale si aliaje neferoase
721109	topitor fonta si neferoase
721108	topitor aliaje tipografie
721107	recuperator metale vechi
721106	pregatitor metale vechi pentru retopire
721105	operator la masini de brichetat span
721104	modelier naval
721103	modelator-miezuitor
721102	modelier metal
721101	modelier lemn
713302	curatitor de fatade
713301	cosar
713205	vopsitor auto
713204	vopsitor
713203	finisor-lacuitor lemn
713202	vopsitor industrial
713201	lacuitor lemn
713105	operator termoprotectie
713104	ignifugator
713103	stucaturist
713102	zugrav
713101	tapetar
712701	frigoriferist (frigotehnist)
712615	instalator pentru sisteme geotermale
712614	instalator pentru pompe de caldura
712613	operator instalatii apa si canalizare
712612	instalator retele termice si sanitare
712611	instalator autorizat proiectare executie si/sau exploatare obiectiv/sisteme de distributie
712610	instalator autorizat proiectare executie si/sau exploatare obiectiv/sisteme de transport si înmagazinare-stocare
712609	instalator instalatii tehnico-sanitare si de gaze
712608	instalator centrale termice
712607	verificator canale subterane
712606	instalator ventilare si conditionare apa
712605	instalator retele de distributie/transport fluide
712604	instalator încalzire centrala si gaze
712603	instalator frigotehnist
712602	instalator apa, canal
712601	detector pierderi apa si gaze
712501	geamgiu
712416	montator sisteme opace de termoizolare pentru cladiri
712415	montator materiale geotextile si geocompozite
712414	montator geogrile
712413	sudor geomembrana
712412	montator materiale geosintetice
712411	confectioner-montator tâmplarie cu vitraj izolant
712410	montator sisteme tâmplarie termoizolanta
712409	confectioner tâmplarie din aluminiu si mase plastice
712408	confectioner vitraje izolante
712407	asamblator-montator profile aluminiu si geam termopan
712406	montator pereti si plafoane din ghips-carton
712405	izolator termic
712404	izolator lucrari speciale (antiacide si de protectie)
712403	izolator hidrofug
712402	izolator frigorific
712401	izolator fonic
712303	ipsosar restaurator ornamente din ipsos
712302	turnator ornamentalist
712301	ipsosar (exclusiv restaurator)
712207	montator placaje uscate
712206	linolist
712205	mozaicar restaurator
712204	parchetar
712203	mozaicar (exclusiv restaurator)
712202	montator placaje interioare si exterioare
712201	faiantar
712102	constructor de acoperisuri
712101	acoperitor-învelitor tigla, azbociment, tabla
711926	speolog utilitar
711925	muncitor în taieri structuri cu scule diamantate
711924	lucrator pentru drumuri si cai ferate
711923	sef echipa lucrari arta metrou
711922	sef echipa întretinere cale metrou
711921	laborant determinari fizico-mecanice pentru lucrari de drumuri si poduri
711920	alpinist utilitar
711919	meserias întretinere poduri metalice, viaducte si tuneluri
711918	sef echipa întretinere cale
711917	meserias întretinere cale
711916	revizor cale sau puncte periculoase
711915	agent hidrotehnic
711914	sef echipa întretinere poduri metalice, viaducte si tuneluri
711913	muncitor constructor senal navigabil, lucrari hidrotehnice si portuare
711912	muncitor hidrogeolog
711911	finisor terasamente
711910	fascinar
711909	drenor canalist
711908	constructor linii tramvai
711907	constructor cai ferate
711906	chesonier
711905	cantonier
711904	asfaltator
711903	sapator fântâni
711902	pavator
711901	muncitor hidrometru
711502	dulgher restaurator
711501	dulgher (exclusiv restaurator)
711407	operator elemente din beton precomprimat cu armatura pretensionata
711406	injectorist în constructii
711405	operator injectorist
711404	constructor structuri monolite
711403	montator elemente prefabricate din beton armat
711402	fierar betonist
711401	betonist
711305	restaurator piatra
711304	taietor, slefuitor, lustruitor piatra, marmura
711303	gaterist la taiat blocuri de piatra, marmura
711302	cioplitor-montator piatra, marmura
711301	cioplitor în piatra si marmura
711206	zidar restaurator
711205	zidar rosar-tencuitor
711204	zidar samotor
711203	zidar pietrar
711202	zidar cosuri fabrica
711201	sobar
711104	laborant pentru constructii de drumuri si constructii civile
711103	confectioner plase si pânze rabit din stuf
711102	confectioner placi din diverse materiale
711101	muncitor constructor bârne, chirpici, piatra
622401	paznic de vânatoare
622301	pescar în mari si oceane
622201	pescar în ape interioare si de coasta
622102	piscicultor
622101	lucrator în culturi acvatice
621014	mangalizator
621013	preparator mangal
621012	taietor silvic
621011	stivuitor si receptioner silvic
621010	sef coloana exploatare stuf
621009	rezinator
621008	recoltator stuf
621007	protectionist silvic
621006	presator stuf
621005	pepinierist
621004	muncitor plantatii si amenajare zona verde
621003	fasonator mecanic (cherestea)
621002	carbonitor
621001	cioplitor în lemn
613003	agricultor în culturi vegetale si crescator de animale
613002	fermier în productia animala
613001	fermier în productia vegetala
612907	herghelegiu
612906	crescator-îngrijitor de cabaline
612905	antrenor cabaline
612904	crescator de melci
612903	crescator-îngrijitor de animale de laborator
612902	crescator-îngrijitor animale salbatice captive
612901	crescator de animale mici
612302	sericicultor
612301	apicultor
612207	arbitru pentru pasari de rasa
612206	crescator de pasari de rasa si pentru decor
612205	crescator de pui pentru carne
612204	crescator de pasari pentru oua de consum
612203	crescator de pasari pentru reproductie
612202	fazanier
612201	crescator de pasari
612111	oier montan
612110	crescator de oi montan
612109	cioban montan
612108	baci montan
612107	mamos porcine
612106	crescator porcine
612105	crescator bovine
612104	lucrator calificat în cresterea animalelor
612103	tocator de furaje
612102	crescator-îngrijitor de animale domestice pentru productia de lapte si carne
612101	cioban (oier)
611302	lucrator calificat în irigatii
611301	fermier în horticultura
611208	viticultor
611207	pomicultor
611206	lucrator calificat în floricultura si arboricultura
611205	peisagist-floricultor
611204	floricultor
611203	florar-decorator
611202	ciupercar
611201	arboricultor
611105	agricultor pentru culturi de câmp ecologice
611104	lucrator calificat în culturi de câmp si legumicultura
611103	legumicultor
611102	gradinar
611101	agricultor
541909	salvator din mediul subacvatic speologic
541908	salvator din mediul subteran speologic
541906	gardian feroviar
541905	salvamar
541904	salvator montan
541903	salvator la strand
541902	cadru tehnic cu atributii în domeniul prevenirii si stingerii incendiilor
541901	sef serviciu voluntar/privat pentru situatii de urgenta
541414	sef obiectiv servicii de securitate
541413	agent de securitate competi?ii sportive
541412	agent conducator câini de serviciu
541411	evaluator de risc de efractie
541410	inspector de securitate
541409	sef tura servicii securitate
541408	dispecer centru de alarma
541407	agent transport valori
541406	agent de securitate interven?ie
541405	?ef serviciu paz?
541404	agent garda de corp
541403	agent de securitate incinta (magazin, hotel, întreprindere etc.)
541402	agent control acces
541401	agent de securitate
541302	educator în penitenciare
541301	agent de penitenciare
541201	agent politie comunitara
541106	sef echipa specializata
541105	sef grupa interventie
541104	servant pompier
541103	specialisti pentru prevenire
541102	sef formatie interventie, salvare si prim ajutor
541101	sef compartiment pentru prevenire
532908	lucrator social
532907	supraveghetor de noapte servicii sociale
532906	operator prestatii sociale
532905	asistent personal de îngrijire
532904	asistent personal profesionist
532903	lucrator prin arte combinate
532902	mediator social
532901	mediator sanitar
532204	îngrijitor la domiciliu
532203	asistent personal al persoanei cu handicap grav
532202	îngrijitor bolnavi la domiciliu
532201	îngrijitor batrâni la domiciliu
532106	namolar
532105	lacar
532104	îngrijitoare la unitati de ocrotire sociala si sanitara
532103	infirmier/infirmiera
532102	gipsar
532101	baies
531203	educator specializat
531202	parinte social
531201	asistent maternal
531103	babysitter
531102	guvernanta
531101	îngrijitor de copii
524601	bufetier
524301	vânzator la domiciliul clientului pe baza de comanda
524103	prezentator moda
524102	model - atelier artistic si publicitate
524101	manechin
523004	casier metrou
523003	casier
523002	vânzator de bilete
523001	taxator
522305	vânzator de produse naturiste
522304	lucrator produse naturiste
522303	lucrator comercial
522302	lucrator controlor final
522301	librar
522201	anticar
522101	vânzator
521201	vânzator ambulant de produse alimentare
516912	iluzionist de circ
516911	prestidigitator
516910	operator pârtie de schi
516909	lucrator pensiune turistica
516908	animator centre de vacanta
516907	animator socioeducativ
516906	întretinator textile-piele
516905	raportor ecolog
516904	agent ecolog
516903	organizator prestari servicii
516902	gazda club
516901	agent dezinfectie, deratizare, dezinsectie
516502	instructor auto
516501	instructor scolar auto
516402	coafor canin
516401	îngrijitor farmacii, cabinete veterinare
516303	îmbalsamator
516302	decorator servicii funerare
516301	antreprenor servicii funerare
516203	valet
516202	însotitor
516201	camerista hotel
516101	astrolog
515303	administrator imobile
515302	agent curatenie cladiri si mijloace de transport
515301	îngrijitor cladiri
515204	lucrator în gospodaria agroturistica
515203	administrator pensiune turistica
515202	îngrijitor vila
515201	gospodar
515108	dispecer pentru servire în camera (hotel)
515107	sef cantina
515106	intendent
515105	administrator piete si târguri
515104	administrator
515103	lenjereasa de hotel
515102	guvernanta de hotel/etaj
515101	cabanier
514208	stilist protezist de unghii
514207	montator bijuterii pe corp
514206	tatuator
514205	machior
514204	maseur de întretinere si relaxare
514203	pedichiurist
514202	manichiurist
514201	cosmetician
514103	coafor stilist
514102	frizer
514101	coafor
513202	barman preparator
513201	barman
513103	somelier
513102	ospatar (chelner)
513101	ajutor ospatar
512004	maestru în arta culinara
512003	bucatar specialist/vegetarian/dietetician
512002	pizzar
512001	bucatar
511320	ghid canioning
511319	ghid turistic pentru pesteri amenajate
511318	însotitor speolog
511317	animator de hotel
511316	custode pentru arii protejate
511315	ranger
511314	organizator activitate turism (studii medii)
511313	însotitor grup turistic
511312	ghid obiectiv cultural
511311	ghid montan
511310	ghid de turism sportiv (alpinism si catarari pe stânci/schi/bob/înot/canotaj/iahting/zbor cu aparate ultrausoare)
511309	ghid turism ecvestru
511308	ghid turism speologic
511307	ghid turism ornitologic
511306	ghid habitat natural flora, fauna
511305	ghid galerii de arta/interpret
511304	ghid de turism montan, drumetie montana
511303	ghid national de turism (tour-operator)
511302	ghid de turism intern (local)
511301	ghid de turism
511207	însotitor pasageri în transportul rutier
511206	sef tura comanda vagon de dormit - cuseta
511205	controlor acces metrou
511204	conductor vagon de dormit si cuseta
511203	controlor bilete
511202	revizor bilete
511201	conductor tren
511102	stewardesa
511101	însotitor de bord
441903	expert rela?ii sociale       
441902	expert local pe problemele romilor
441901	functionar ghiseu servicii publice
441601	referent evidenta persoanelor
441502	functionar documentare
441501	arhivar
441303	corector-revizor poligrafie
441302	corector editura presa
441301	codificator
441212	sef vagon postal
441211	responsabil tura expeditie
441210	prelucrator presa scrisa
441209	oficiant presa
441208	oficiant posta telegrame
441207	inspector telegrame
441206	factor postal
441205	diriginte posta
441204	cartator telegrame
441203	cartator presa
441202	cartator postal
441201	agent postal
441107	videotecar
441106	mânuitor carte
441105	fototecar
441104	fonotecar
441103	filmotecar
441102	discotecar
441101	bibliotecar (studii medii)
432344	revizor tehnic auto
432343	referent protocol aeroportuar
432342	agent feroviar marfa
432341	referent de specialitate TIR si tranzite (studii superioare)
432340	grafician mers de tren
432339	operator portuar dispecer/planificator
432338	operator portuar expeditor
432337	operator portuar stivator
432336	operator miscare metrou
432335	impiegat de miscare metrou
432334	agent statie metrou
432333	agent curier
432332	operator receptie
432331	expeditor international
432330	verificator documente expeditie
432329	veghetor încarcare-descarcare
432328	sef tura revizie vagoane
432327	sef tura pregatirea personalului la vagon-restaurant si de dormit
432326	sef tura la comanda personalului de tren
432325	sef statie taxare
432324	sef halta
432323	avizier cai ferate
432322	sef autogara
432321	sef agentie colectare si expeditie marfuri
432320	scriitor vagoane
432319	revizor tehnic vagoane
432318	reditionar
432317	picher
432316	operator programare
432315	operator dana
432314	operator comercial
432313	operator circulatie miscare
432312	instructor statie
432311	instructor revizie vagoane
432310	instructor depou
432309	inspector exploatare trafic
432308	inspector RNR (Registru Naval Român)
432307	însotitor vagoane
432306	impiegat registru miscare
432305	impiegat informatii aviatie
432304	impiegat auto
432303	controlor trafic
432302	functionar informatii
432301	agent transporturi
432205	dispecer operatiuni salubrizare
432204	programator productie
432203	lansator produse
432202	facturist
432201	dispecer
432112	sef raion/adjunct marfuri alimentare/nealimentare
432111	lucrator gestionar
432110	primitor-distribuitor benzina si motorina
432109	pivnicer
432107	trezorier (studii medii)
432106	sortator produse
432105	recuziter
432104	primitor-distribuitor materiale si scule
432103	operator siloz (silozar)
432102	magaziner
432101	gestionar depozit
431301	pontator
431203	administrator financiar (patrimoniu) - studii medii
431202	contabil financiar bancar
431201	agent bursa
431104	sef sectie inventar
431103	operator devize
431102	functionar economic
431101	calculator pret cost
422601	receptionist
422502	functionar informatii clienti
422501	impiegat informatii
422405	responsabil cazare
422404	tehnician compartiment securitate hotel
422403	sef de receptie hotel
422402	lucrator concierge
422401	receptioner de hotel
422307	operator registrator de urgenta
422306	telegrafist (teleimprimatorist)
422305	telefonist instructor
422304	telefonist
422303	radiotelegrafist
422302	oficiant telegraf
422301	oficiant telefoane
422111	agent de turism pentru circuite tematice
422110	functionar agentie voiaj
422109	agent transporturi interne
422108	agent transporturi externe
422107	agent turism de afaceri
422106	agent de asistenta turistica
422105	agent de transport international
422104	agent de transport turistic intern
422103	agent de turism tour-operator
422102	agent de turism
422101	agent de voiaj
421402	colector (recuperator) creante/debite
421401	agent fiscal
421301	amanetar
421205	cap de masa (cazino)
421204	sef de masa (cazino)
421203	supraveghetor jocuri (cazino)
421202	schimbator fise - changeur (cazino)
421201	crupier
421114	referent casier
421113	referent operatii între sedii
421112	administrator cont
421111	operator ghiseu birouri de schimb
421110	operator ghiseu banca
421109	sef supraveghere case
421108	sef casierie centrala
421107	casier trezorier
421106	verificator valori
421105	verificator bani
421104	numarator bani
421103	mânuitor valori (presa, posta)
421102	casier valuta
421101	casier tezaur
413207	asistent analist de informatii
413206	operator masina de calculat
413205	operator masina contabilizat
413204	registrator de arhiva electronica de garantii reale mobiliare
413203	operator procesare text si imagine
413202	operator tehnica poligraf
413201	operator introducere, validare si prelucrare date
413107	telebanker
413106	telexist
413105	teletipist
413104	telefaxist
413103	referent transmitere
413102	stenodactilografa
413101	dactilografa
412003	secretara prelucrare texte
412002	secretara dactilografa
412001	secretara
411003	referent de stare civila
411002	inspector documente secrete
411001	functionar administrativ
352215	tehnician proiectant transporturi si comunicatii
352214	tehnician transporturi, posta si telecomunicatii
352213	maistru transporturi, posta si telecomunicatii
352212	radioelectronist statii radiorelee si satelit
352211	operator retele de telecomunicatii
352210	tehnician retele de telecomunicatii
352209	pilonist antenist
352208	maistru materiale emisie RTV si telecomunicatii
352207	tehnician statii radiorelee si satelit
352206	tehnician statii de emisie radio-TV
352205	inspector exploatare postala
352204	tehnician turn parasutism
352203	tehnician radiolocatii
352202	tehnician constructii telefonice
352201	sef formatie sisteme radiante (antene)
352135	designer video
352134	tehnician la echipamente de înregistrare imagine si sunet
352133	radioelectronist statii de emisie radio-TV
352132	tehnician de echipamente TV
352131	cameraman
352130	tehnician pentru sisteme de detectie, supraveghere video, control acces
352129	operator dispecer sisteme de monitorizare si aparatura de control
352128	tehnician CATV
352127	tehnician radioelectronist
352126	operator sunet
352125	operator radio-radioficare
352124	operator imagine
352123	montor emisie
352122	controlor emisii RTV
352121	ilustrator muzical
352120	tehnician iluminat tehnologic
352119	editor imagine
352118	operator truka
352117	stantator de filme
352116	senzitometrist
352115	proiectionist
352114	preparator filmare
352113	operator productie RTV
352112	operator emisie-receptie
352111	operator camera diafilm, diapozitive
352110	montor pozitive
352109	montor negative si de pregatire a peliculei
352108	montor imagine
352107	mecanic camera filmare
352106	masinist mecanic traweling
352105	maistru aparate video si sunet
352104	etaloner
352103	electrician iluminare filmare
352102	controlor si reconditioner filme
352101	acustician cinematografic
351202	analist ajutor
351201	programator ajutor
351107	operator suport tehnic pentru servicii de comunicatii electronice
351106	operator prompter
351105	administrator sistem documentar
351104	operator în domeniul proiectarii asistate pe calculator
351103	tehnician echipamente de calcul si retele
351102	sef tura exploatare în centre sau oficii de calcul
351101	operator calculator electronic si retele
343523	gestionar custode sala
343522	secretar artistic
343521	electrician iluminare scena
343520	corector (studii medii)
343519	copywriter publicitate (studii medii)
343518	videojurnalist (studii medii)
343517	traducator (studii medii)
343516	documentarist (studii medii)
343515	ghid de animatie
343514	secretar de emisie (studii medii)
343513	peruchier
343512	machior spectacole
343511	reporter (studii medii)
343510	asistent regizor artistic
343509	organizator de productie
343508	secretar de redactie (studii medii)
343507	tehnoredactor
343506	caricaturist (studii medii)
343505	maestru de sunet
343504	maestru de lumini
343503	tehnician reclame (decorator)
343502	tehnician machetist
343501	mânuitor, montator decor
343405	inspector calitate productie culinara
343404	cofetar-sef
343403	bucatar-sef
343402	barman-sef
343401	sef de sala restaurant
343306	conservator arhiva (studii medii)
343305	restaurator arhiva (studii medii)
343304	conservator bunuri culturale (studii medii)
343303	restaurator bunuri culturale (studii medii)
343302	conservator opere de arta si monumente istorice (studii medii)
343301	restaurator opere de arta si monumente istorice (studii medii)
343205	desenator artistic (studii superioare)
343204	decorator vitrine
343203	desenator artistic (studii medii)
343202	decorator interioare
343201	butafor
343104	operator prelucrare pelicula
343103	retusor foto
343102	laborant foto
343101	fotograf
342308	instructor canioning
