Cod	Denumire
818904	operator generatoare terestre sonice si cu agent activ de însamântare
818903	operator instalatie de sortare si reciclare deseuri menajere si asimilabile
818902	operator la tratarea si epurarea apelor uzate
818901	operator la roboti industriali
818304	operator masini paletizate si înfoliere pentru fabrica de ciment
818303	operator masini însacuire pentru fabrica de ciment
818302	operator la masina de etichetat
818301	masinist la masini de ambalat
818208	fochist pentru cazane conduse de calculator
818207	fochist la cazane de apa calda si cazane de abur de joasa presiune
818206	fochist pentru cazane mici de abur
818205	ajutor fochist
818204	fochist pentru cazane de abur si de apa fierbinte
818203	masinist la instalatii pentru încalzit tren
818202	fochist la masini cu abur
818201	fochist locomotiva cu abur
818143	armator de izolatori electrici (prelucrator produse electrotehnice)
818142	prelucrator produse ceramice prin injectare
818141	discuitor de produse ceramice la masini
818140	prelucrator produse ceramice prin extrudare
818139	finisor produse din carbune
818138	cuptorar produse din carbune
818137	preparator-presator produse din carbune
818136	formator produse refractare
818135	cuptorar produse refractare
818134	preparator-presator abrazive
818133	cuptorar produse abrazive
818132	granulator/sortator abrazive
818131	finisor produse abrazive
818130	operator abrazive pe suporti
818129	operator la fabricarea produselor din carbune
818128	operator la fabricarea produselor abrazive
818127	operator la fabricarea produselor refractare
818126	arzator produse ceramice
818125	cuptorar ceramica fina si decor
818124	strungar produse ceramice
818123	pregatitor de materii prime pentru producerea sticlei
818122	securizator geam
818121	slefuitor/sablator geam
818120	taietor geam
818119	preparator vata de sticla
818118	turnator geam
818117	operator la instalatii de tras si laminat geam
818116	prelucrator fire si tesaturi din fire de sticla
818115	operator la masini de inscriptionat
818114	operator la prelucrarea tuburilor din sticla
818113	operator la instalatii automate pentru prelucrarea topiturii de sticla
818112	operator la instalatii automate pentru prepararea amestecului
818111	argintar produse din sticla
818110	sablator produse din sticla
818109	arzator produse din sticla
818108	slefuitor produse din sticla
818107	taietor produse din sticla
818106	confectioner termosuri
818105	cuptorar recoacere sticla
818104	prelucrator de tuburi si baghete
818103	prelucrator de topituri la instalatii de tras tevi
818102	prelucrator de topituri la semiautomate
818101	topitor sticla
817236	operator la recoltarea si toaletarea arborilor forestieri
